FIPS,Geo_FIPS
Name of Area,Geo_NAME
Qualifying Name,Geo_QName
State/U.S.-Abbreviation (USPS),Geo_STUSAB
Summary Level,Geo_SUMLEV
Geographic Component,Geo_GEOCOMP
File Identification,Geo_FILEID
Logical Record Number,Geo_LOGRECNO
US,Geo_US
Region,Geo_REGION
Division,Geo_DIVISION
State (Census Code),Geo_STATECE
State (FIPS),Geo_STATE
County,Geo_COUNTY
County Subdivision (FIPS),Geo_COUSUB
Place (FIPS Code),Geo_PLACE
Place (State FIPS + Place FIPS),Geo_PLACESE
Census Tract,Geo_TRACT
Block Group,Geo_BLKGRP
Consolidated City,Geo_CONCIT
American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),Geo_AIANHH
American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),Geo_AIANHHFP
American Indian Trust Land/Hawaiian Home Land Indicator,Geo_AIHHTLI
American Indian Tribal Subdivision (Census),Geo_AITSCE
American Indian Tribal Subdivision (FIPS),Geo_AITS
Alaska Native Regional Corporation (FIPS),Geo_ANRC
Metropolitan and Micropolitan Statistical Area,Geo_CBSA
Combined Statistical Area,Geo_CSA
Metropolitan Division,Geo_METDIV
Metropolitan Area Central City,Geo_MACC
Metropolitan/Micropolitan Indicator Flag,Geo_MEMI
New England City and Town Combined Statistical Area,Geo_NECTA
New England City and Town Area,Geo_CNECTA
New England City and Town Area Division,Geo_NECTADIV
Urban Area,Geo_UA
Urban Area Central Place,Geo_UACP
Current Congressional District ***,Geo_CDCURR
State Legislative District Upper,Geo_SLDU
State Legislative District Lower,Geo_SLDL
Voting District,Geo_VTD
ZIP Code Tabulation Area (3-digit),Geo_ZCTA3
ZIP Code Tabulation Area (5-digit),Geo_ZCTA5
Subbarrio (FIPS),Geo_SUBMCD
School District (Elementary),Geo_SDELM
School District (Secondary),Geo_SDSEC
School District (Unified),Geo_SDUNI
Urban/Rural,Geo_UR
Principal City Indicator,Geo_PCI
Traffic Analysis Zone,Geo_TAZ
Urban Growth Area,Geo_UGA
Public Use Microdata Area - 5% File,Geo_PUMA5
Public Use Microdata Area - 1% File,Geo_PUMA1
Geographic Identifier,Geo_GEOID
Area (Land),Geo_AREALAND
Area (Water),Geo_AREAWATR
Total Population,ACS09_5yr_B01001001
Male,ACS09_5yr_B01001002
Male: Under 5 Years,ACS09_5yr_B01001003
Male: 5 to 9 Years,ACS09_5yr_B01001004
Male: 10 to 14 Years,ACS09_5yr_B01001005
Male: 15 to 17 Years,ACS09_5yr_B01001006
Male: 18 and 19 Years,ACS09_5yr_B01001007
Male: 20 Years,ACS09_5yr_B01001008
Male: 21 Years,ACS09_5yr_B01001009
Male: 22 to 24 Years,ACS09_5yr_B01001010
Male: 25 to 29 Years,ACS09_5yr_B01001011
Male: 30 to 34 Years,ACS09_5yr_B01001012
Male: 35 to 39 Years,ACS09_5yr_B01001013
Male: 40 to 44 Years,ACS09_5yr_B01001014
Male: 45 to 49 Years,ACS09_5yr_B01001015
Male: 50 to 54 Years,ACS09_5yr_B01001016
Male: 55 to 59 Years,ACS09_5yr_B01001017
Male: 60 and 61 Years,ACS09_5yr_B01001018
Male: 62 to 64 Years,ACS09_5yr_B01001019
Male: 65 and 66 Years,ACS09_5yr_B01001020
Male: 67 to 69 Years,ACS09_5yr_B01001021
Male: 70 to 74 Years,ACS09_5yr_B01001022
Male: 75 to 79 Years,ACS09_5yr_B01001023
Male: 80 to 84 Years,ACS09_5yr_B01001024
Male: 85 Years and Over,ACS09_5yr_B01001025
Female,ACS09_5yr_B01001026
Female: Under 5 Years,ACS09_5yr_B01001027
Female: 5 to 9 Years,ACS09_5yr_B01001028
Female: 10 to 14 Years,ACS09_5yr_B01001029
Female: 15 to 17 Years,ACS09_5yr_B01001030
Female: 18 and 19 Years,ACS09_5yr_B01001031
Female: 20 Years,ACS09_5yr_B01001032
Female: 21 Years,ACS09_5yr_B01001033
Female: 22 to 24 Years,ACS09_5yr_B01001034
Female: 25 to 29 Years,ACS09_5yr_B01001035
Female: 30 to 34 Years,ACS09_5yr_B01001036
Female: 35 to 39 Years,ACS09_5yr_B01001037
Female: 40 to 44 Years,ACS09_5yr_B01001038
Female: 45 to 49 Years,ACS09_5yr_B01001039
Female: 50 to 54 Years,ACS09_5yr_B01001040
Female: 55 to 59 Years,ACS09_5yr_B01001041
Female: 60 and 61 Years,ACS09_5yr_B01001042
Female: 62 to 64 Years,ACS09_5yr_B01001043
Female: 65 and 66 Years,ACS09_5yr_B01001044
Female: 67 to 69 Years,ACS09_5yr_B01001045
Female: 70 to 74 Years,ACS09_5yr_B01001046
Female: 75 to 79 Years,ACS09_5yr_B01001047
Female: 80 to 84 Years,ACS09_5yr_B01001048
Female: 85 Years and Over,ACS09_5yr_B01001049
Std. Error: Total Population,ACS09_5yr_B01001001s
Std. Error: Male,ACS09_5yr_B01001002s
Std. Error: Male: Under 5 Years,ACS09_5yr_B01001003s
Std. Error: Male: 5 to 9 Years,ACS09_5yr_B01001004s
Std. Error: Male: 10 to 14 Years,ACS09_5yr_B01001005s
Std. Error: Male: 15 to 17 Years,ACS09_5yr_B01001006s
Std. Error: Male: 18 and 19 Years,ACS09_5yr_B01001007s
Std. Error: Male: 20 Years,ACS09_5yr_B01001008s
Std. Error: Male: 21 Years,ACS09_5yr_B01001009s
Std. Error: Male: 22 to 24 Years,ACS09_5yr_B01001010s
Std. Error: Male: 25 to 29 Years,ACS09_5yr_B01001011s
Std. Error: Male: 30 to 34 Years,ACS09_5yr_B01001012s
Std. Error: Male: 35 to 39 Years,ACS09_5yr_B01001013s
Std. Error: Male: 40 to 44 Years,ACS09_5yr_B01001014s
Std. Error: Male: 45 to 49 Years,ACS09_5yr_B01001015s
Std. Error: Male: 50 to 54 Years,ACS09_5yr_B01001016s
Std. Error: Male: 55 to 59 Years,ACS09_5yr_B01001017s
Std. Error: Male: 60 and 61 Years,ACS09_5yr_B01001018s
Std. Error: Male: 62 to 64 Years,ACS09_5yr_B01001019s
Std. Error: Male: 65 and 66 Years,ACS09_5yr_B01001020s
Std. Error: Male: 67 to 69 Years,ACS09_5yr_B01001021s
Std. Error: Male: 70 to 74 Years,ACS09_5yr_B01001022s
Std. Error: Male: 75 to 79 Years,ACS09_5yr_B01001023s
Std. Error: Male: 80 to 84 Years,ACS09_5yr_B01001024s
Std. Error: Male: 85 Years and Over,ACS09_5yr_B01001025s
Std. Error: Female,ACS09_5yr_B01001026s
Std. Error: Female: Under 5 Years,ACS09_5yr_B01001027s
Std. Error: Female: 5 to 9 Years,ACS09_5yr_B01001028s
Std. Error: Female: 10 to 14 Years,ACS09_5yr_B01001029s
Std. Error: Female: 15 to 17 Years,ACS09_5yr_B01001030s
Std. Error: Female: 18 and 19 Years,ACS09_5yr_B01001031s
Std. Error: Female: 20 Years,ACS09_5yr_B01001032s
Std. Error: Female: 21 Years,ACS09_5yr_B01001033s
Std. Error: Female: 22 to 24 Years,ACS09_5yr_B01001034s
Std. Error: Female: 25 to 29 Years,ACS09_5yr_B01001035s
Std. Error: Female: 30 to 34 Years,ACS09_5yr_B01001036s
Std. Error: Female: 35 to 39 Years,ACS09_5yr_B01001037s
Std. Error: Female: 40 to 44 Years,ACS09_5yr_B01001038s
Std. Error: Female: 45 to 49 Years,ACS09_5yr_B01001039s
Std. Error: Female: 50 to 54 Years,ACS09_5yr_B01001040s
Std. Error: Female: 55 to 59 Years,ACS09_5yr_B01001041s
Std. Error: Female: 60 and 61 Years,ACS09_5yr_B01001042s
Std. Error: Female: 62 to 64 Years,ACS09_5yr_B01001043s
Std. Error: Female: 65 and 66 Years,ACS09_5yr_B01001044s
Std. Error: Female: 67 to 69 Years,ACS09_5yr_B01001045s
Std. Error: Female: 70 to 74 Years,ACS09_5yr_B01001046s
Std. Error: Female: 75 to 79 Years,ACS09_5yr_B01001047s
Std. Error: Female: 80 to 84 Years,ACS09_5yr_B01001048s
Std. Error: Female: 85 Years and Over,ACS09_5yr_B01001049s
% Male,PCT_ACS09_5yr_B01001002
% Male: Under 5 Years,PCT_ACS09_5yr_B01001003
% Male: 5 to 9 Years,PCT_ACS09_5yr_B01001004
% Male: 10 to 14 Years,PCT_ACS09_5yr_B01001005
% Male: 15 to 17 Years,PCT_ACS09_5yr_B01001006
% Male: 18 and 19 Years,PCT_ACS09_5yr_B01001007
% Male: 20 Years,PCT_ACS09_5yr_B01001008
% Male: 21 Years,PCT_ACS09_5yr_B01001009
% Male: 22 to 24 Years,PCT_ACS09_5yr_B01001010
% Male: 25 to 29 Years,PCT_ACS09_5yr_B01001011
% Male: 30 to 34 Years,PCT_ACS09_5yr_B01001012
% Male: 35 to 39 Years,PCT_ACS09_5yr_B01001013
% Male: 40 to 44 Years,PCT_ACS09_5yr_B01001014
% Male: 45 to 49 Years,PCT_ACS09_5yr_B01001015
% Male: 50 to 54 Years,PCT_ACS09_5yr_B01001016
% Male: 55 to 59 Years,PCT_ACS09_5yr_B01001017
% Male: 60 and 61 Years,PCT_ACS09_5yr_B01001018
% Male: 62 to 64 Years,PCT_ACS09_5yr_B01001019
% Male: 65 and 66 Years,PCT_ACS09_5yr_B01001020
% Male: 67 to 69 Years,PCT_ACS09_5yr_B01001021
% Male: 70 to 74 Years,PCT_ACS09_5yr_B01001022
% Male: 75 to 79 Years,PCT_ACS09_5yr_B01001023
% Male: 80 to 84 Years,PCT_ACS09_5yr_B01001024
% Male: 85 Years and Over,PCT_ACS09_5yr_B01001025
% Female,PCT_ACS09_5yr_B01001026
% Female: Under 5 Years,PCT_ACS09_5yr_B01001027
% Female: 5 to 9 Years,PCT_ACS09_5yr_B01001028
% Female: 10 to 14 Years,PCT_ACS09_5yr_B01001029
